CODE,SECTOR
5147,INDUSTRIAL PRODUCTS & SERVICES
5148,PROPERTY
5149,TRANSPORTATION & LOGISTICS
5151,INDUSTRIAL PRODUCTS & SERVICES
5152,INDUSTRIAL PRODUCTS & SERVICES
5156,CONSUMER PRODUCTS & SERVICES
5157,CONSUMER PRODUCTS & SERVICES
5159,CONSUMER PRODUCTS & SERVICES
5160,CONSUMER PRODUCTS & SERVICES
5161,TECHNOLOGY
5162,TECHNOLOGY
5163,INDUSTRIAL PRODUCTS & SERVICES
5165,INDUSTRIAL PRODUCTS & SERVICES
5166,CONSUMER PRODUCTS & SERVICES
5167,INDUSTRIAL PRODUCTS & SERVICES
5168,HEALTH CARE
5169,CONSTRUCTION
5170,INDUSTRIAL PRODUCTS & SERVICES
5171,CONSTRUCTION
5172,CONSTRUCTION
5173,TRANSPORTATION & LOGISTICS
5175,PROPERTY
5176,REAL ESTATE INVESTMENT TRUSTS
5178,INDUSTRIAL PRODUCTS & SERVICES
5180,REAL ESTATE INVESTMENT TRUSTS
5182,PROPERTY
5183,INDUSTRIAL PRODUCTS & SERVICES
5184,ENERGY
5185,FINANCIAL SERVICES
5186,ENERGY
5187,CONSUMER PRODUCTS & SERVICES
5188,CONSUMER PRODUCTS & SERVICES
5190,CONSTRUCTION
5191,PROPERTY
5192,INDUSTRIAL PRODUCTS & SERVICES
5195,TECHNOLOGY
5196,CONSUMER PRODUCTS & SERVICES
5197,INDUSTRIAL PRODUCTS & SERVICES
5198,INDUSTRIAL PRODUCTS & SERVICES
5199,ENERGY
5200,PROPERTY
5202,CONSUMER PRODUCTS & SERVICES
5204,TECHNOLOGY
5205,CONSTRUCTION
5207,PROPERTY
5208,INDUSTRIAL PRODUCTS & SERVICES
5209,UTILITIES
5210,ENERGY
5211,INDUSTRIAL PRODUCTS & SERVICES
5212,REAL ESTATE INVESTMENT TRUSTS
5213,CONSTRUCTION
5216,TECHNOLOGY
5218,ENERGY
5219,INDUSTRIAL PRODUCTS & SERVICES
5220,INDUSTRIAL PRODUCTS & SERVICES
5222,PLANTATION
5223,PLANTATION
5225,HEALTH CARE
5226,CONSTRUCTION
5227,REAL ESTATE INVESTMENT TRUSTS
5228,FINANCIAL SERVICES
5230,FINANCIAL SERVICES
5231,CONSUMER PRODUCTS & SERVICES
5232,INDUSTRIAL PRODUCTS & SERVICES
5236,PROPERTY
5237,PROPERTY
5238,CONSUMER PRODUCTS & SERVICES
5239,PROPERTY
5242,CONSUMER PRODUCTS & SERVICES
5243,ENERGY
